STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
BUDAPEST BELTERULET,64,+47:30:39,+019:01:41,0.9938148148148148,1.1209057971014484,1.3697463768115945,0.7557875457875429,0.01690961337240316,0.00516428571427867,0.0032194695775488134,0.03980840579689355,0.029621724631887163,0.01075257041231784,0.0285249559685628,0.025972171012740235
DALATANGI,65,+65:16:05,-013:34:32,0.9088020204543248,0.7296801508633142,0.7773330365444311,0.5378667505153212,-0.024270725588424514,-0.03581789381098387,-0.06776262594716585,-0.018486971479597672,-0.048718768344436274,-0.012482624208446093,-0.05203167044561673,-0.0352861602775381
STYKKISHOLMUR,67,+65:04:26,-022:44:00,0.9725664908231674,0.7329212121212123,0.92586044778486,0.5462777418659774,-0.06344987849892265,-0.024648909832133588,-0.01370414575081984,-0.03261577291263977,-0.05118037350661006,-0.011428373314609717,-0.0021795503836316205,-0.018070245415362698
ALEKSANDROV GAJ,70,+50:09:00,+048:33:00,2.2590659978074736,1.3943115942028985,0.9351510428435397,1.1415195149677908,0.0005235447913980143,0.024313732412028624,0.015079166047523771,-0.011566875811991562,0.00014465588817647035,0.012495013232514712,0.012478292495306312,0.00870806974073114
ARXANGEL'SK,71,+64:30:00,+040:43:59,1.4193248546410793,1.2504347826086957,0.30255170228080885,0.6070847543261337,0.0027330131930250086,0.01030037675689367,0.005035955580373666,0.019580110697279936,-0.026079118041097887,-0.02594729952126423,-0.020533909486025088,-0.07093010458030534
ARMAVIR,72,+44:58:59,+041:07:00,1.3017269472544857,0.7807246376811605,0.9949996769817169,0.7808109132247072,-0.04538895640457073,-0.04544274149566302,0.047574767607275845,0.04778177842875899,0.0006450781045167275,0.01987142763885667,0.005251283394979074,-0.0003063397829497817
ASTRAXAN',73,+46:16:59,+047:58:59,1.8220908788143708,0.9721376811594187,0.7808913473211483,0.9514412024756869,0.009082381066334208,-0.008067422715875693,0.05554216128770053,0.04842037334459436,-2.1861071667618315e-05,0.007804668815669609,0.010894093531145246,0.01702099089739665
ELAT'MA,74,+54:57:00,+041:46:00,2.426336094805934,1.412644927536232,0.571808048903641,0.846222053808261,-0.034254085651893376,0.008952026631760748,0.022664651575579495,-0.05523018917498457,0.0006853890734234998,-0.009124001767163025,-0.003107403803915292,0.028160601872872747
KALININGRAD,77,+54:42:00,+020:37:00,1.852865076422362,1.8171739130434785,1.0110021221719734,0.5444716201229944,-0.012740152327351059,0.025197492941213626,0.0027390941735759397,-0.010864880678370135,0.03918663565840337,-0.03238977715842951,-0.010488365313041237,0.035733315082434165
KANDALAKSHA,78,+67:09:00,+032:21:00,1.3179629629629623,1.428550724637681,0.3187167163065805,0.5520512820512821,-0.015324405515116126,-0.015247365404979644,-0.0003349638854154786,-0.016486368672610205,-0.03777015195778409,-0.04664618251103062,-0.01522149972085075,-0.07262243062637813
